"","Athlete","Team","Score","Remark","Sex","Form","Group"
"1137","PISANI Teresa Aida","ITA","8.59","3RD Prize","W","Gun (Cudgel/Sta?)-","Group D"
"1138","Ashleigh Nicola Jade WYKES","GBR","8.49","3RD Prize","W","Gun (Cudgel/Sta?)-","Group D"
"1139","BAHODUROVA Firuzakhon","TJK","8.41","","W","Gun (Cudgel/Sta?)-","Group D"
"1140","CIECHANOWSKA Magdalena Katarzyna","POL","8.4","","W","Gun (Cudgel/Sta?)-","Group D"
"1141","GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria","PRT","8.36","","W","Gun (Cudgel/Sta?)-","Group D"
"1142","SAFRONOVA Jekaterina","LVA","8.32","","W","Gun (Cudgel/Sta?)-","Group D"
"1143","DUAN Yuan","CHN","9","1ST Prize","W","Jian (Straight Sword)-","Group D"
"1144","POLTORATSKA Yana","UKR","8.65","2ND Prize","W","Jian (Straight Sword)-","Group D"
"1145","KRON Yoni Shan Marina","DEU","8.6","2ND Prize","W","Jian (Straight Sword)-","Group D"
"1146","OKUN Carmel","ISR","8.59","2ND Prize","W","Jian (Straight Sword)-","Group D"
"1147","LE Gia Han","VNM","8.58","3RD Prize","W","Jian (Straight Sword)-","Group D"
"1148","WONG Amy Ka-Lai","USA","8.55","3RD Prize","W","Jian (Straight Sword)-","Group D"
"1149","BEKIARI Maria Ioanna","GRC","8.52","3RD Prize","W","Jian (Straight Sword)-","Group D"
"1150","MALAHOVA Polina","LVA","8.5","3RD Prize","W","Jian (Straight Sword)-","Group D"
"1151","VIZI Enik?","HUN","8.48","","W","Jian (Straight Sword)-","Group D"
"1152","KUN Enik?","HUN","8.47","","W","Jian (Straight Sword)-","Group D"
"1153","WESTERMAN Megan Ruth","USA","8.45","","W","Jian (Straight Sword)-","Group D"
"1154","VILLALONGA SEBASTIA Elena","ESP","8.43","","W","Jian (Straight Sword)-","Group D"
"1155","GUEVARA PINEDO Wara Lucero","BOL","8.41","","W","Jian (Straight Sword)-","Group D"
"1156","HENEGAMA MILLAGASANGE GEDARA Thiyangi Dimalsha Weerasinghe","LKA","8.4","","W","Jian (Straight Sword)-","Group D"
"1157","AIT ZERROUK Melissa","DZA","(DNS)","","W","Jian (Straight Sword)-","Group D"
"1158","LEE Wing Yung","HKG","9","1ST Prize","W","Nandao (Southern Broadsword)-","Group D"
"1159","LEE Sze Min Josephine","SGP","8.8","2ND Prize","W","Nandao (Southern Broadsword)-","Group D"
"1160","KALUARACHCHI Devni Chamodya","SGP","8.71","3RD Prize","W","Nandao (Southern Broadsword)-","Group D"
"1161","KAUR Karamjit","IND","8.6","3RD Prize","W","Nandao (Southern Broadsword)-","Group D"
"1162","FRANCO Luna Magdalena","USA","8.59","","W","Nandao (Southern Broadsword)-","Group D"
"1163","RYCHLEWSKA Emila Marta","POL","8.57","","W","Nandao (Southern Broadsword)-","Group D"
"1164","SIMON Viktoria","HUN","8.8","1ST Prize","W","Shanzi (Fan)-","Group D"
"1165","LAMPADA Maria","GRC","8.61","2ND Prize","W","Shanzi (Fan)-","Group D"
"1166","Myrsini Chionia CHRISTODOULELLI","GBR","8.59","3RD Prize","W","Shanzi (Fan)-","Group D"
"1167","PATTARO DE MENDONÇA Solange","BRA","8.57","3RD Prize","W","Shanzi (Fan)-","Group D"
"1168","VATZAKA Christina","GRC","8.56","","W","Shanzi (Fan)-","Group D"
"1169","LI Hao","HKG","8.66","1ST Prize","M","posture Taijijian-","Group C"
"1170","TAN En Jie","SGP","8.64","2ND Prize","M","posture Taijijian-","Group C"
"1171","CHOW Yu Hong","HKG","8.62","3RD Prize","M","posture Taijijian-","Group C"
"1172","SEAH Jun Xiang Dylan","SGP","8.61","3RD Prize","M","posture Taijijian-","Group C"
"1173","WONG Kadyn","USA","8.55","","M","posture Taijijian-","Group C"
"1174","NGUYEN Khac Le Hoang","VNM","8.7","1ST Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1175","JOHN SAAD Amoun Mocus","EGY","8.57","1ST Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1176","MURENU Matteo","ITA","8.5","1ST Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1177","DONG Lucas Bogang","USA","8.45","2ND Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1178","KARUNANAYAKA MUDIYANSELAGE Anuja Chamod","LKA","8.42","2ND Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1179","IMI ARACHILLAGE Anuhas Chandupa Ranaweera","LKA","8.4","2ND Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1180","JAYASUNDARA Pemitha Randes","LKA","8.35","3RD Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1181","ZHANG Donghe","USA","8.14","3RD Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1182","ROGOVEANU Dario","ROU","7.96","3RD Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1183","ROGOVEANU David","ROU","7.95","3RD Prize","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1184","YING Ruoxiang","CAN","7.92","","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1185","GRAD George Raul","ROU","7.91","","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1186","GAJANAYAKA MUDALIGE Lakidu Himsara Gajanayaka","LKA","7.89","","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1187","TECI Alexandra Jasmine","ROU","(DNS)","","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1188","JIN Yinuo","CAN","(DNS)","","M","Other Taijijian/Taijidao/Taijishan- ","Group B/C"
"1189","ZHENG Zhichao","CHN","8.86","1ST Prize","M","Other Taijijian Routines-","Group D"
"1190","YEUNG Chung Hei","HKG","8.81","1ST Prize","M","Other Taijijian Routines-","Group D"
"1191","LEUNG Yat Sing","HKG","8.77","2ND Prize","M","Other Taijijian Routines-","Group D"
"1192","TRAN Phan Anh Tuan","VNM","8.76","2ND Prize","M","Other Taijijian Routines-","Group D"
"1193","CHUANG Tate Mathew","PHL","8.74","2ND Prize","M","Other Taijijian Routines-","Group D"
"1194","LOEIS Erick Citra","IDN","8.74","2ND Prize","M","Other Taijijian Routines-","Group D"
"1195","LI Shaoyue","MAC","8.69","3RD Prize","M","Other Taijijian Routines-","Group D"
"1196","HESHAM NABIL Abdelnabi Mohamed","EGY","8.66","3RD Prize","M","Other Taijijian Routines-","Group D"
"1197","BISONI Gianluigi","ITA","8.63","3RD Prize","M","Other Taijijian Routines-","Group D"
"1198","JANSEN Kai Frank","DEU","8.62","3RD Prize","M","Other Taijijian Routines-","Group D"
"1199","BHATI Shivam","IND","8.61","3RD Prize","M","Other Taijijian Routines-","Group D"
"1200","JAYASEKARA MUDALIGE Hirusha Madushanka Jayasekara","LKA","8.6","3RD Prize","M","Other Taijijian Routines-","Group D"
"1201","KOJIMA Ryuhei","JPN","8.58","","M","Other Taijijian Routines-","Group D"
"1202","HUYNH Christoph Ngoc-Son","DEU","8.56","","M","Other Taijijian Routines-","Group D"
"1203","NOVOTNY Lukas","CZE","8.56","","M","Other Taijijian Routines-","Group D"
"1204","DU PLESSIS Alexander Dirk","ZAF","8.51","","M","Other Taijijian Routines-","Group D"
"1205","SIMON GARCIA Mario","ESP","8.49","","M","Other Taijijian Routines-","Group D"
"1206","FERREIRA PENSE William","BRA","8.37","","M","Other Taijijian Routines-","Group D"
"1207","SANT'ANNA LIMA DE ALMEIDA Gabriel Guarino","BRA","8.31","","M","Other Taijijian Routines-","Group D"
"1208","LIN Sanzhe","FRA","8.7","1ST Prize","M","Taijishan/Taijidao Routines- ","Group D/E"
"1209","SAT Pak Long","HKG","8.69","2ND Prize","M","Taijishan/Taijidao Routines- ","Group D/E"
"1210","NUÑEZ ALARCON Rafael Ignacio","CHL","8.57","3RD Prize","M","Taijishan/Taijidao Routines- ","Group D/E"
"1211","HOREJS Milan","CZE","8.55","3RD Prize","M","Taijishan/Taijidao Routines- ","Group D/E"
"1212","ZANINI Caio","BRA","8.51","","M","Taijishan/Taijidao Routines- ","Group D/E"
"1213","PODAKANTI Satyajith Chary","IND","8.5","","M","Taijishan/Taijidao Routines- ","Group D/E"
"1214","AIT-ZERROUK Karim","DZA","(DNS)","","M","Taijishan/Taijidao Routines- ","Group D/E"
"1215","HU Liqing","CHN","8.76","1ST Prize","M","Other Taijijian Routines-","Group E"
"1216","LIM Che How","SGP","8.7","1ST Prize","M","Other Taijijian Routines-","Group E"
"1217","TAY Ah Huat","SGP","8.67","2ND Prize","M","Other Taijijian Routines-","Group E"
"1218","YAN Haichun","CHN","8.64","2ND Prize","M","Other Taijijian Routines-","Group E"
"1219","FU Nengbin","CHN","8.63","2ND Prize","M","Other Taijijian Routines-","Group E"
"1220","ZHANG Cheng","USA","8.62","2ND Prize","M","Other Taijijian Routines-","Group E"
"1221","VLASENKO Romans","LVA","8.59","3RD Prize","M","Other Taijijian Routines-","Group E"
"1222","SLAMKA Michal","SVK","8.58","3RD Prize","M","Other Taijijian Routines-","Group E"
"1223","ORICCHIO Alexandre Maximilien Marc","CHE","8.57","3RD Prize","M","Other Taijijian Routines-","Group E"
"1224","TIAN Chunyang","MAC","8.56","3RD Prize","M","Other Taijijian Routines-","Group E"
"1225","SUMBULASHVILI Lasha","GEO","8.51","3RD Prize","M","Other Taijijian Routines-","Group E"
"1226","BROWN Mitchell Alexander Leon","AUS","8.51","","M","Other Taijijian Routines-","Group E"
"1227","NIKISINS Aleksejs","LVA","8.5","","M","Other Taijijian Routines-","Group E"
"1228","HERATH MUDIYANSELAGE Ananda Kumara","LKA","8.48","","M","Other Taijijian Routines-","Group E"
"1229","DYBICZ Tomasz Jacek","POL","8.48","","M","Other Taijijian Routines-","Group E"
"1230","BERRY Brett James","ZAF","8.47","","M","Other Taijijian Routines-","Group E"
"1231","FERNANDO Punchividanelage Mahesh Deepal","LKA","8.45","","M","Other Taijijian Routines-","Group E"
"1232","HAUSKA Jiri","CZE","8.27","","M","Other Taijijian Routines-","Group E"
"1233","1STAMATOPOULOS Grigorios","GRC","(DNS)","","M","Other Taijijian Routines-","Group E"
"1234","ZHANG Qianqiu","CHN","8.79","1ST Prize","M","Taijidao-","Group E"
"1235","ANG Boon Seng Royce","SGP","8.66","2ND Prize","M","Taijidao-","Group E"
"1236","MARTINS GONCALVES Marco Antonio","PRT","8.51","3RD Prize","M","Taijidao-","Group E"
"1237","LOPEZ MORENO Raul","ESP","8.5","3RD Prize","M","Taijidao-","Group E"
"1238","MIHAILA Claudiu","ROU","8.29","","M","Taijidao-","Group E"
"1239","ZHOU Xu","CAN","8.25","","M","Taijidao-","Group E"
"1240","LON Weng Kam","MAC","8.61","1ST Prize","M","Taijijian-","Group F"
"1241","NIÑO ORTEGA Eloy Alberto","ESP","8.55","2ND Prize","M","Taijijian-","Group F"
"1242","LEHMANN Nicholas Du?","USA","8.51","3RD Prize","M","Taijijian-","Group F"
"1243","LO Wing Kit Albert","AUS","8.46","3RD Prize","M","Taijijian-","Group F"
"1244","CHAN Han Yeh","AUS","8.38","","M","Taijijian-","Group F"
"1245","DONG Dennis Bokui","USA","8.47","1ST Prize","M","Other Double- Weapon Routines-","Group A/B"
"1246","WENG Linxu","SGP","8.42","2ND Prize","M","Other Double- Weapon Routines-","Group A/B"
"1247","YAP Jun Kai","MYS","8.41","3RD Prize","M","Other Double- Weapon Routines-","Group A/B"
"1248","WANG Allan Chenxi","USA","8.4","3RD Prize","M","Other Double- Weapon Routines-","Group A/B"
"1249","ZHANG Jason","USA","8.33","","M","Other Double- Weapon Routines-","Group A/B"
"1250","CHIN Shawn","MYS","8.29","","M","Other Double- Weapon Routines-","Group A/B"
"1251","CHAN Fengze","MAC","8.47","1ST Prize","M","Other Single-Weapon Routines-","Group B"
"1252","HE Dragon","USA","8.46","1ST Prize","M","Other Single-Weapon Routines-","Group B"
"1253","FRENKEL David","ISR","8.44","2ND Prize","M","Other Single-Weapon Routines-","Group B"
"1254","MOHAMED IBRAHIM Mohamed Mokhtar","EGY","8.42","2ND Prize","M","Other Single-Weapon Routines-","Group B"
"1255","TAN Qi Han Darren","SGP","8.41","3RD Prize","M","Other Single-Weapon Routines-","Group B"
"1256","ZWAAL Jan Joris","NLD","8.4","3RD Prize","M","Other Single-Weapon Routines-","Group B"
"1257","HUANACUNI PINEDO Huaskar Soriam","BOL","8.37","3RD Prize","M","Other Single-Weapon Routines-","Group B"
"1258","ZHOU Zichin","AUS","8.31","","M","Other Single-Weapon Routines-","Group B"
"1259","RAZO ACOSTA Jose Luis","MEX","8.24","","M","Other Single-Weapon Routines-","Group B"
"1260","TORRES RODRIGUEZ Mario Rafael","MEX","8.1","","M","Other Single-Weapon Routines-","Group B"
"1261","LEON RAZNATOVIC Darko Alejandro","BOL","(DNS)","","M","Other Single-Weapon Routines-","Group B"
"1262","OMAR EMAD Shehata Tony","EGY","8.67","1ST Prize","M","Shuangdao (Double Broadsword)- ","Group C"
"1263","ZHENG Lin","USA","8.66","2ND Prize","M","Shuangdao (Double Broadsword)- ","Group C"
"1264","ALVAREZ RUIZ Mario Alejandro","MEX","8.64","2ND Prize","M","Shuangdao (Double Broadsword)- ","Group C"
"1265","LI Jasper Zhen Bao","USA","8.61","3RD Prize","M","Shuangdao (Double Broadsword)- ","Group C"
"1266","Jack William CALDICOTT","GBR","8.59","3RD Prize","M","Shuangdao (Double Broadsword)- ","Group C"
"1267","CHEOK Wa Weng","MAC","8.53","","M","Shuangdao (Double Broadsword)- ","Group C"
"1268","TOUROUTSIKAS Panagiotis","GRC","8.51","","M","Shuangdao (Double Broadsword)- ","Group C"
"1269","ZHADIGER Alkarim","KAZ","8.49","","M","Shuangdao (Double Broadsword)- ","Group C"
"1270","LI Chengrui","USA","(DNS)","","M","Shuangdao (Double Broadsword)- ","Group C"
"1271","WANG Justin Xuming","USA","8.95","1ST Prize","M","Other Double-Weapon Routines-","Group C"
"1272","JULLIAN Banyan Noel Yu Hai","USA","8.75","2ND Prize","M","Other Double-Weapon Routines-","Group C"
"1273","LEI Wang Chun","HKG","8.65","2ND Prize","M","Other Double-Weapon Routines-","Group C"
"1274","VIRO Lazuardi Jana","IDN","8.55","3RD Prize","M","Other Double-Weapon Routines-","Group C"
"1275","DINCU Mihai Daniel","ROU","8.55","3RD Prize","M","Other Double-Weapon Routines-","Group C"
"1276","HUANG Daniel Jiang","USA","8.54","3RD Prize","M","Other Double-Weapon Routines-","Group C"
"1277","Matthew Carleton WRIGHT","GBR","8.53","","M","Other Double-Weapon Routines-","Group C"
"1278","DERZKO Franciszek Jan","POL","8.51","","M","Other Double-Weapon Routines-","Group C"
"1279","MOHAMED AHMED Fathalla Taha","EGY","8.44","","M","Other Double-Weapon Routines-","Group C"
"1280","MENDEZ COBA Jose Fernando","MEX","8.42","","M","Other Double-Weapon Routines-","Group C"
"1281","YOSHIDA Yuhi","JPN","7.64","","M","Other Double-Weapon Routines-","Group C"
"1282","LIU Albert","USA","8.79","1ST Prize","M","Jiujiebian (Nine Section Whip Chain)-","Group C"
"1283","WONG Kaden Dan","USA","8.75","2ND Prize","M","Jiujiebian (Nine Section Whip Chain)-","Group C"
"1284","Junayde Ilhan GUVEN","GBR","8.65","3RD Prize","M","Jiujiebian (Nine Section Whip Chain)-","Group C"
"1285","LU Kelvin Yu","USA","8.58","3RD Prize","M","Jiujiebian (Nine Section Whip Chain)-","Group C"
"1286","BAI Lawren","USA","8.41","","M","Jiujiebian (Nine Section Whip Chain)-","Group C"
"1287","LEW Casey Tianyu","USA","8.7","2ND Prize","M","Other Soft-Weapon Routines-","Group C"
"1288","YEUNG Cheuk Yin","HKG","8.69","3RD Prize","M","Other Soft-Weapon Routines-","Group C"
"1289","LEUNG Wai Man","HKG","8.5","","M","Other Soft-Weapon Routines-","Group C"
"1290","HUANG Samuel Jiang","USA","8.48","","M","Other Soft-Weapon Routines-","Group C"
"1291","TEMIME Yazid","DZA","(DNS)","","M","Other Soft-Weapon Routines-","Group C"
"1292","BOUKHENNOUFA Yacine","DZA","(DNS)","","M","Other Soft-Weapon Routines-","Group C"
"1293","WU Brad Tianzhou","USA","(DNS)","","M","Other Soft-Weapon Routines-","Group C"
"1294","BILUT Tomasz","POL","8.71","1ST Prize","M","Shuangbishou (Double Daggers)-","Group D"
"1295","NG Shao Chun","SGP","8.7","2ND Prize","M","Shuangbishou (Double Daggers)-","Group D"
"1296","IOANA Mihai","ROU","8.63","3RD Prize","M","Shuangbishou (Double Daggers)-","Group D"
"1297","CHOI Alexander Martin","USA","8.52","3RD Prize","M","Shuangbishou (Double Daggers)-","Group D"
"1298","DAOUDI Moubarak","BEL","8.51","","M","Shuangbishou (Double Daggers)-","Group D"
"1299","ZHARUN Maksym","UKR","9.1","1ST Prize","M","Shuangdao (Double Broadsword)-","Group D"
"1300","KRYSKO Viacheslav","UKR","9.07","2ND Prize","M","Shuangdao (Double Broadsword)-","Group D"
"1301","CHEN Jinsong","HKG","9","2ND Prize","M","Shuangdao (Double Broadsword)-","Group D"
"1302","RAJPUT Rajat","IND","8.7","3RD Prize","M","Shuangdao (Double Broadsword)-","Group D"
"1303","ZEDDA Valerio","ITA","8.66","3RD Prize","M","Shuangdao (Double Broadsword)-","Group D"
"1304","KARWOWSKI Jakub","POL","8.6","3RD Prize","M","Shuangdao (Double Broadsword)-","Group D"
"1305","CALADO GUERREIRO Salvador","PRT","8.6","","M","Shuangdao (Double Broadsword)-","Group D"
"1306","LEGASPI Regin Ryan Ralleca","AUS","8.56","","M","Shuangdao (Double Broadsword)-","Group D"
"1307","SZPOCZEK Micha? Krzysztof","POL","8.51","","M","Shuangdao (Double Broadsword)-","Group D"
"1308","WANG Qianlong","CHN","8.9","1ST Prize","M","Other Double-Weapon Routines-","Group D"
"1309","NASR IBRAHIM Taw?k Mossad Salem","EGY","8.89","1ST Prize","M","Other Double-Weapon Routines-","Group D"
"1310","YANG Xu","CHN","8.87","2ND Prize","M","Other Double-Weapon Routines-","Group D"
"1311","ZHANG Yuyang","CHN","8.84","2ND Prize","M","Other Double-Weapon Routines-","Group D"
"1312","PAPAEFTHYMIOU Konstantinos","GRC","8.81","2ND Prize","M","Other Double-Weapon Routines-","Group D"
"1313","DE OLIVEIRA MANACERO Miguel","BRA","8.8","3RD Prize","M","Other Double-Weapon Routines-","Group D"
"1314","KOLISNYK Oleksii","UKR","8.79","3RD Prize","M","Other Double-Weapon Routines-","Group D"
"1315","WONG Cho Wai Gabriel","HKG","8.76","3RD Prize","M","Other Double-Weapon Routines-","Group D"
"1316","CHOONG Chee Wei","MYS","8.76","3RD Prize","M","Other Double-Weapon Routines-","Group D"
"1317","JURAEV Abbos","TJK","8.63","3RD Prize","M","Other Double-Weapon Routines-","Group D"
"1318","ARISTIDE Julien","FRA","8.6","","M","Other Double-Weapon Routines-","Group D"
"1319","SIGMON Kirk Allen","USA","8.55","","M","Other Double-Weapon Routines-","Group D"
"1320","IANA Mihail Alexandru","ROU","8.54","","M","Other Double-Weapon Routines-","Group D"
"1321","CHARLES Sutanto","IDN","0","","M","Other Double-Weapon Routines-","Group D"
"1322","OLIINYK Andrii","UKR","0","","M","Other Double-Weapon Routines-","Group D"
"1323","CHAN Tsz Sa","HKG","8.68","1ST Prize","W","posture Taijijian-","Group C"
"1324","PARADIUK Vanessa Weronika","POL","8.62","2ND Prize","W","posture Taijijian-","Group C"
"1325","ELLIE SHERIF Magdy Eskander","EGY","8.58","3RD Prize","W","posture Taijijian-","Group C"
"1326","MAQUILAN Alessandra May","PHL","8.57","3RD Prize","W","posture Taijijian-","Group C"
"1327","MENDIS AMARASEKERA Samadhee Prathibha","LKA","8.46","","W","posture Taijijian-","Group C"
"1328","IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake","LKA","8.4","","W","posture Taijijian-","Group C"
"1329","ANNIS Beatrice","ITA","8.58","1ST Prize","W","Taijijian-","Group C"
"1330","KUZEMBAY Aiymzhan","KAZ","8.51","2ND Prize","W","Taijijian-","Group C"
"1331","BELEAN Oana Vasilica","ROU","8.49","2ND Prize","W","Taijijian-","Group C"
"1332","LEE MO LIN Estelle Shannon Lian Chu","MUS","8.46","3RD Prize","W","Taijijian-","Group C"
"1333","LABONI YONG Poi Qa","MYS","8.45","3RD Prize","W","Taijijian-","Group C"
"1334","TECI Alexandra Jasmine","ROU","8.41","","W","Taijijian-","Group C"
"1335","CHONG CHAP SIN Marie Kim Lan","MUS","8.4","","W","Taijijian-","Group C"
"1336","SOWARUTH Dishita","MUS","8.34","","W","Taijijian-","Group C"
"1337","COKHAMUR Ecrin","TUR","(DNS)","","W","Taijijian-","Group C"
"1338","KOLISNYK Mariia","UKR","(DNS)","","W","Taijijian-","Group C"
"1339","PAN Qiaoshan","CHN","8.84","1ST Prize","W","posture Taijijian-","Group D"
"1340","YEUNG Debbie","HKG","8.7","2ND Prize","W","posture Taijijian-","Group D"
"1341","ANASTASIU Denisa Ruxandra","ROU","8.66","3RD Prize","W","posture Taijijian-","Group D"
"1342","VALENTIM UEMOTO Katemann Akemi","BRA","8.62","3RD Prize","W","posture Taijijian-","Group D"
"1343","PAVAN Beatriz Danielle","BRA","8.53","","W","posture Taijijian-","Group D"
"1344","DAUNDASEKARA MUDIYANSELAGE Sachari Lanka","LKA","8.32","","W","posture Taijijian-","Group D"
"1345","WANG Shiyu","CHN","8.77","1ST Prize","W","Taijijian-","Group D"
"1346","AU-YEUNG Pui Yue","HKG","8.7","2ND Prize","W","Taijijian-","Group D"
"1347","HUNG Si Fan","MAC","8.65","2ND Prize","W","Taijijian-","Group D"
"1348","IVANOVA Oryna","UKR","8.65","3RD Prize","W","Taijijian-","Group D"
"1349","WAI Pui Cheng","MAC","8.62","3RD Prize","W","Taijijian-","Group D"
"1350","KUBIAK Anna Maria","POL","8.56","3RD Prize","W","Taijijian-","Group D"
"1351","WONG KAM LAN Jessica Rachel","MUS","8.53","","W","Taijijian-","Group D"
"1352","CHIKHLADZE Nino","GEO","8.52","","W","Taijijian-","Group D"
"1353","HEIDTMANN Anna Paulina","DEU","8.5","","W","Taijijian-","Group D"
"1354","FOSSA Enrica","ITA","8.46","","W","Taijijian-","Group D"
"1355","YAN Ningning","CHN","8.82","1ST Prize","W","Taijishan-","Group D"
"1356","TAY Kai Xin Ranice","SGP","8.73","2ND Prize","W","Taijishan-","Group D"
"1357","GRINDEANU Sonia","ROU","8.64","2ND Prize","W","Taijishan-","Group D"
"1358","CHEUNG Ophil","HKG","8.51","3RD Prize","W","Taijishan-","Group D"
"1359","ROMERO Shaman","FRA","8.47","3RD Prize","W","Taijishan-","Group D"
"1360","SHARMA Abhigya","IND","8.41","","W","Taijishan-","Group D"
"1361","NIÑO GONZALEZ Alba","ESP","8.14","","W","Taijishan-","Group D"
"1362","HUANACUNI BALDIVIESO Maya Melisa","BOL","8.1","","W","Taijishan-","Group D"
"1363","NG Chiew Yen","SGP","8.7","1ST Prize","W","Other Taijijian Routines-","Group E"
"1364","GABESKIRIA Maka","GEO","8.61","2ND Prize","W","Other Taijijian Routines-","Group E"
"1365","NESHCHERET Natalia","KGZ","8.55","2ND Prize","W","Other Taijijian Routines-","Group E"
"1366","TRAN CONG Francine","FRA","8.54","3RD Prize","W","Other Taijijian Routines-","Group E"
"1367","ZHU-HIPTMAIR Guirong","CHE","8.53","3RD Prize","W","Other Taijijian Routines-","Group E"
"1368","ZHIGALKINA Tatyana","KAZ","8.52","3RD Prize","W","Other Taijijian Routines-","Group E"
"1369","YANG Lili","USA","8.5","","W","Other Taijijian Routines-","Group E"
"1370","ROVIRA-ALVAREZ Nelly Esther","USA","8.49","","W","Other Taijijian Routines-","Group E"
"1371","KLEJCHOVÁ Michaela","SVK","8.44","","W","Other Taijijian Routines-","Group E"
"1372","UEDA Mikiko","JPN","8.43","","W","Other Taijijian Routines-","Group E"
"1373","GUEDES Marta Denise","BRA","(DNS)","","W","Other Taijijian Routines-","Group E"
"1374","JASLYN TAN Yu Ching","MYS","8.59","1ST Prize","W","Other Taiji Weapon Routines-","Group C/E"
"1375","CHAO Haiya","CHN","8.58","2ND Prize","W","Other Taiji Weapon Routines-","Group C/E"
"1376","1STANKOVA Marketa","CZE","8.57","3RD Prize","W","Other Taiji Weapon Routines-","Group C/E"
"1377","POINT Flora","FRA","8.55","3RD Prize","W","Other Taiji Weapon Routines-","Group C/E"
"1378","PHAM Thi Huong","VNM","8.54","","W","Other Taiji Weapon Routines-","Group C/E"
"1379","RODRIGUES CHARNECO Mariana","PRT","8.5","","W","Other Taiji Weapon Routines-","Group C/E"
"1380","PINEDO SORUCO Cecilia Esperanza","BOL","8.47","","W","Other Taiji Weapon Routines-","Group C/E"
"1381","CHEONG Lao Leng","MAC","8.6","1ST Prize","W","Other Taijijian Routines-","Group F"
"1382","PAK Tatiana","KGZ","8.58","2ND Prize","W","Other Taijijian Routines-","Group F"
"1383","YE Kanglian","DEU","8.56","3RD Prize","W","Other Taijijian Routines-","Group F"
"1384","HAYASHI Kyoko","JPN","8.54","3RD Prize","W","Other Taijijian Routines-","Group F"
"1385","DINH Thi Thuy Lan","VNM","8.51","","W","Other Taijijian Routines-","Group F"
"1386","ZASLAWSKI Louise Edna Anne","AUS","8.45","","W","Other Taijijian Routines-","Group F"
"1387","MC CARDLE Candace Jane","ZAF","8.43","","W","Other Taijijian Routines-","Group F"
"1388","CHAN I Lo","MAC","(DNS)","","W","Other Taijijian Routines-","Group F"
"1389","CHEN Yu","CHN","8.98","1ST Prize","W","Other Double-Weapon Routines-","Group D"
"1390","ZHANG Xue","CHN","8.88","1ST Prize","W","Other Double-Weapon Routines-","Group D"
"1391","LI Na","CHN","8.7","2ND Prize","W","Other Double-Weapon Routines-","Group D"
"1392","LOW Qiu Min Elicia","SGP","8.61","2ND Prize","W","Other Double-Weapon Routines-","Group D"
"1393","TAN Shi Xuan Esther","SGP","8.6","2ND Prize","W","Other Double-Weapon Routines-","Group D"
"1394","TAN Wei Qing Regina","SGP","8.59","3RD Prize","W","Other Double-Weapon Routines-","Group D"
"1395","DE LA ROSA LIRA Grace Guadalupe","MEX","8.54","3RD Prize","W","Other Double-Weapon Routines-","Group D"
"1396","NASCIMENTO CELESTINO GUERREIRO Suelen Cristina","BRA","8.53","3RD Prize","W","Other Double-Weapon Routines-","Group D"
"1397","OBEANU Mara Georgia Alina","ROU","8.52","3RD Prize","W","Other Double-Weapon Routines-","Group D"
"1398","ACOSTA ORTEGA Yuliana Sarahi","MEX","8.47","3RD Prize","W","Other Double-Weapon Routines-","Group D"
"1399","JACOBS Shannon Stephanie","ZAF","8.45","","W","Other Double-Weapon Routines-","Group D"
"1400","ALEXANDRA Dwi Putri","IDN","8.44","","W","Other Double-Weapon Routines-","Group D"
"1401","GORDON Ayla Nunnehi","USA","8.42","","W","Other Double-Weapon Routines-","Group D"
"1402","SKORUPA Agnieszka Barbara","POL","8.41","","W","Other Double-Weapon Routines-","Group D"
"1403","LIRA ACOSTA Andrea Sulim","MEX","8.3","","W","Other Double-Weapon Routines-","Group D"
"1404","Chong Yaru","CHN","8.96","1ST Prize","W","Shuangjian -","Group D"
"1405","KRYSKO Alina","UKR","8.79","2ND Prize","W","Shuangjian -","Group D"
"1406","CHIRILIUC Anastasia","ISR","8.73","2ND Prize","W","Shuangjian -","Group D"
"1407","MOVSHOVICH Shelly","ISR","8.7","3RD Prize","W","Shuangjian -","Group D"
"1408","YANG Josepha","FRA","8.65","3RD Prize","W","Shuangjian -","Group D"
"1409","YIM Wing Tung","HKG","8.65","3RD Prize","W","Shuangjian -","Group D"
"1410","DISARO Chantal","DEU","8.59","","W","Shuangjian -","Group D"
